country_code,country_name,region,income_level,DT.DOD.DECT.GN.ZS,DT.DOD.DSTC.ZS,DT.TDS.DECT.EX.ZS,gdp_current_usd,gdp_per_capita_usd,population,total_reserves_usd
EST,Estonia,Europe & Central Asia,High income,,,,43130419829.35,31428.3547816104,1372341,2074505152.71104
ETH,Ethiopia,Sub-Saharan Africa ,Low income,,0.9621,11.538041500051,149740297952.375,1133.88279681256,132059767,3784387425.19121
FIN,Finland,Europe & Central Asia,High income,,,,298729432711.719,53155.5451165897,5619911,17992892153.4528
FJI,Fiji,East Asia & Pacific,Upper middle income,71.3867600808353,27.2248,9.53539168749024,5968125909.27126,6425.74151715712,928784,1599606710.18293
FRA,France,Europe & Central Asia,High income,,,,3160442622465.08,46103.0840855884,68551653,282857363313.825
FRO,Faroe Islands,Europe & Central Asia,High income,,,,4052937169.76536,74175.2776311377,54640,
FSM,"Micronesia, Fed. Sts.",East Asia & Pacific,Upper middle income,,,,481121300.0,4251.69052668788,113160,
GAB,Gabon,Sub-Saharan Africa ,Upper middle income,35.9523010976641,2.2312,,20895684425.6752,8230.04311451151,2538952,638788434.429856
GBR,United Kingdom,Europe & Central Asia,High income,,,,3695539513534.15,53341.3131094262,69281000,174597843325.182
GEO,Georgia,Europe & Central Asia,Upper middle income,79.6767852223944,18.8015,26.5628823310302,34189423333.141,8967.67525638987,3812518,4447216641.42079
GHA,Ghana,Sub-Saharan Africa ,Lower middle income,46.9171668170777,7.0016,9.43593175956357,83288585604.0268,2419.2518672482,34427414,4472457558.56406
GIB,Gibraltar,Europe & Central Asia,High income,,,,,,39329,
GIN,Guinea,Sub-Saharan Africa ,Lower middle income,23.1973863712568,7.0107,3.729306337627,25008678293.4073,1694.95375862185,14754785,1345598715.8962
GMB,"Gambia, The",Sub-Saharan Africa ,Low income,66.3566127091875,3.7471,8.14420595794985,2404888737.54853,871.340287547821,2759988,628849157.476695
GNB,Guinea-Bissau,Sub-Saharan Africa ,Low income,67.1110649067659,0.057,13.2574468326414,2197777209.94218,998.376093392688,2201352,
GNQ,Equatorial Guinea,Sub-Saharan Africa ,Upper middle income,,,,13254388261.1258,7003.58055684906,1892516,1076807833.41514
GRC,Greece,Europe & Central Asia,High income,,,,256238371778.118,24626.1481858973,10405134,15221750195.0005
GRD,Grenada,Latin America & Caribbean ,Upper middle income,68.5938767489392,1.8152,4.85035125902098,1351270370.37037,11528.9220811928,117207,423263143.568031
GRL,Greenland,Europe & Central Asia,High income,,,,,,56836,
GTM,Guatemala,Latin America & Caribbean ,Upper middle income,24.2444913245727,0.6308,9.56215520029921,113215575150.885,6150.89465281457,18406359,24412418011.7846
GUM,Guam,East Asia & Pacific,High income,,,,,,167777,
GUY,Guyana,Latin America & Caribbean ,High income,22.6406371146813,1.731,2.88572767868533,24662714628.2974,29675.2501582835,831087,1009772163.61402
HKG,"Hong Kong SAR, China",East Asia & Pacific,High income,,,,408368682415.423,54274.7547767073,7524100,
HND,Honduras,Latin America & Caribbean ,Lower middle income,41.8233168617746,12.3162,18.1160284769388,36980171442.0603,3415.96027916712,10825703,8036257488.95927
HRV,Croatia,Europe & Central Asia,High income,,,,92981894167.9687,24049.9441746337,3866200,3335294932.65449
HTI,Haiti,Latin America & Caribbean ,Lower middle income,3.74484478267583,13.6782,63.162658981726,24255657481.2502,2060.35591768638,11772557,2714226653.6402
HUN,Hungary,Europe & Central Asia,High income,,,,222848211034.367,23305.4482514359,9562065,46422357553.8952
IDN,Indonesia,East Asia & Pacific,Upper middle income,30.9729980083421,15.4664,24.6905963826299,1396301788461.69,4925.43644992666,283487931,155708275547.574
IMN,Isle of Man,Europe & Central Asia,High income,,,,,,84160,
IND,India,South Asia,Lower middle income,18.5795533694083,19.4803,10.493447761841,3760813470500.86,2591.9916607122,1450935791,643042560625.541
IRL,Ireland,Europe & Central Asia,High income,,,,609157459747.205,112894.953240805,5395790,12698067021.8083
IRN,"Iran, Islamic Rep.","Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,2.21280566524888,23.6678,0.284993582584259,475252089215.416,5190.16959024821,91567738,
IRQ,Iraq,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,6.22639916968424,4.1454,2.95676245098624,279641257615.385,6073.61032342708,46042015,100690954781.588
ISL,Iceland,Europe & Central Asia,High income,,,,33186621855.0053,85863.1479330343,386506,6402950468.75603
ISR,Israel,"Middle East, North Africa, Afghanistan & Pakistan",High income,,,,542284494490.778,54216.5218142787,10002200,214543676669.814
ITA,Italy,Europe & Central Asia,High income,,,,2383435562458.12,40429.6224047352,58952704,290547420426.359
