country_code,country_name,total_debt_usd,private_png_debt_usd,public_ppg_debt_usd,short_term_debt_usd,ibrd_debt_usd,ida_debt_usd,world_bank_debt_usd,total_debt_service_usd,ppg_debt_service_usd,multilateral_debt_service_usd,region,income_level,debt_pct_gni,short_term_pct_reserves,debt_service_pct_exports,gdp_current_usd,gdp_per_capita_usd,population,total_reserves_usd,short_term_share,public_ppg_share,private_png_share,multilateral_share,debt_pct_gdp,debt_service_pct_debt,reserves_to_debt,debt_per_capita_usd
GTM,Guatemala,27058876458.5,12448523000.0,13641907785.6,170700000.0,1920887000.0,,1920887000.0,1956998468.8,1137807561.7,654838686.4,Latin America & Caribbean ,Upper middle income,24.2444913245727,0.6308,9.56215520029921,113215575150.885,6150.89465281457,18406359,24412418011.7846,0.006308465921037089,0.5041564754738613,0.46005321097098056,0.07098916331378541,23.900312675564308,7.232371498504138,0.9021962921936447,1470.0830543672434
GUY,Guyana,3681569057.1,1089618000.0,2187409360.2,63729586.2,,185972000.0,185972000.0,599435184.9,122217517.2,71422801.5,Latin America & Caribbean ,High income,22.6406371146813,1.731,2.88572767868533,24662714628.2974,29675.2501582835,831087,1009772163.61402,0.01731044161105599,0.5941513866164007,0.2959656557028705,0.05051433155690731,14.92767163950337,16.28205734030641,0.27427766475455584,4429.823901829772
HND,Honduras,14299817842.8,1891200000.0,9565004967.4,1761202000.0,,1114159000.0,1114159000.0,1787447273.7,923896105.2,533212878.2,Latin America & Caribbean ,Lower middle income,41.8233168617746,12.3162,18.1160284769388,36980171442.0603,3415.96027916712,10825703,8036257488.95927,0.12316254789824266,0.6688899867501464,0.1322534329311212,0.07791420927511901,38.66887925385806,12.499790510268527,0.5619832068703973,1320.9135557108855
HTI,Haiti,944741012.3,5697000.0,250601499.5,129224000.0,,,,543003063.0,512090000.0,4165000.0,Latin America & Caribbean ,Lower middle income,3.74484478267583,13.6782,63.162658981726,24255657481.2502,2060.35591768638,11772557,2714226653.6402,0.1367824602907842,0.26525946924851207,0.00603022407816348,,3.894930545709972,57.47639362856101,2.872984890358824,80.24943198830975
IDN,Indonesia,421059208493.8,102046544757.3,245496602121.5,65123015000.0,21495586000.0,72671000.0,21568257000.0,76758123088.1,38206573831.4,4877949863.5,East Asia & Pacific,Upper middle income,30.9729980083421,15.4664,24.6905963826299,1396301788461.69,4925.43644992666,283487931,155708275547.574,0.15466474473496505,0.5830453227698852,0.2423567581441521,0.051223810250233696,30.15531541771369,18.229769481274808,0.3698013780640705,1485.2808971744198
IND,India,716456023890.4,316357573000.0,238949800499.3,139568064000.0,24051551000.0,14688140000.0,38739691000.0,91617460130.9,26787302732.6,10463470742.2,South Asia,Lower middle income,18.5795533694083,19.4803,10.493447761841,3760813470500.86,2591.9916607122,1450935791,643042560625.541,0.19480339245685574,0.3335163534557054,0.4415589547034011,0.054071275428240674,19.050559925669045,12.787590176632417,0.8975324921322883,493.78892459232196
IRN,"Iran, Islamic Rep.",9654298895.5,727358000.0,323488047.1,2284966218.4,124094000.0,,124094000.0,362016236.0,76467184.6,10799287.5,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,2.21280566524888,23.6678,0.284993582584259,475252089215.416,5190.16959024821,91567738,,0.23667862815652557,0.033507150607361265,0.07534032329774164,0.01285375575618877,2.0314058821788845,3.749793122406234,,105.43341035136196
IRQ,Iraq,17517006333.0,300000000.0,12931630316.7,726167000.0,2809857000.0,203054000.0,3012911000.0,3422697948.3,3244531323.1,565878000.0,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,6.22639916968424,4.1454,2.95676245098624,279641257615.385,6073.61032342708,46042015,100690954781.588,0.041454971597057994,0.7382328961278226,0.017126214051474933,0.17199919568014466,6.26409939734024,19.539285898709963,5.7481828154561985,380.45698766659103
JAM,Jamaica,14836981078.4,2750548000.0,7944015967.4,2399479000.0,965843000.0,,965843000.0,2450592727.9,1119664983.2,398060327.2,Latin America & Caribbean ,Upper middle income,76.0700580586773,16.1722,31.8505046193829,22014429050.9995,7753.8119527678,2839175,5632916052.14541,0.16172285907226866,0.5354199702367398,0.1853846133162701,0.06509700288059916,67.39661993517097,16.51678811849148,0.3796537868708299,5225.807172294769
JOR,Jordan,46966040104.7,2709577000.0,23707731206.0,17898373000.8,5228000000.0,194032000.0,5422032000.0,4505628874.5,2072618008.6,794418381.2,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,90.1349716229773,38.1091,18.1501287979427,58618380563.3803,5073.92103605892,11552876,21939099361.5116,0.3810918050765977,0.5047845454534609,0.05769226006620146,0.11544579845166476,80.12169502690138,9.5933761169895,0.4671268710882037,4065.3115384169273
